theme_set_id,theme_synonym_id,pattern,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,n_in_min
01_06_22,6695166,310576842025446210,3,3,1,0,7,8,4,0,3,3,2,1,1,3,-3,0,0,2,0,0,3,5,2,1,3,3,2
01_06_23,6473622,314826075022202720,2,3,2,0,11,11,6,3,2,3,1,2,2,2,-3,3,1,3,1,0,6,2,5,2,1,1,72
01_06_24,6685918,087642351022522030,3,2,1,0,9,9,5,0,4,2,2,3,1,3,-2,0,0,1,0,2,3,1,4,3,2,1,14
01_06_25,6452351,310647582025531433,2,2,2,0,9,10,4,0,3,3,2,2,2,2,-3,0,0,1,0,2,7,4,3,2,3,2,3
01_06_26,6695166,310576842025446210,3,3,1,0,7,8,4,0,3,3,2,1,1,3,-3,0,0,2,0,0,3,5,2,1,3,3,2
01_07_08,4745236,315846027021501051,1,0,4,0,9,7,6,12,1,2,2,5,1,0,-2,4,3,0,3,0,2,0,5,0,0,0,17
01_07_09,6702580,384725016022510037,4,2,1,0,8,7,5,0,4,2,2,2,1,3,-2,0,0,1,0,2,5,3,2,2,2,2,6
01_07_10,6402035,137584260004122334,2,2,1,0,6,9,6,4,2,5,1,1,2,2,-5,0,2,1,1,2,4,1,3,1,1,2,5
01_07_11,6520260,031584726002421531,3,0,1,0,5,6,5,0,3,3,3,2,2,1,-3,0,4,1,2,0,4,4,4,2,2,3,8
01_07_12,6693666,027351864051024211,3,2,4,0,5,7,5,0,3,4,2,5,1,2,-4,0,0,2,0,0,6,1,4,1,1,0,17
01_07_13,5803448,314580627033124112,2,0,2,0,5,11,6,3,2,5,1,2,4,2,-5,0,1,0,1,0,6,2,5,2,1,1,1
01_07_14,6702580,384725016022510037,4,2,1,0,8,7,5,0,4,2,2,2,1,3,-2,0,0,1,0,2,5,3,2,2,2,2,6
01_07_15,5672192,352764018027532030,2,0,1,0,9,6,6,6,2,1,2,3,1,1,-1,2,3,3,3,1,3,1,5,2,1,1,9
01_07_16,6538153,012357846031022210,3,0,1,0,5,9,6,2,3,4,2,3,3,1,-4,2,1,2,1,0,5,1,5,2,1,1,4
01_07_17,6695875,081726354021522031,3,3,1,0,9,7,6,2,3,2,2,2,1,2,-2,1,2,3,2,0,4,3,5,2,1,2,7
01_07_18,6695875,081726354021522031,3,3,1,0,9,7,6,2,3,2,2,2,1,2,-2,1,2,3,2,0,4,3,5,2,1,2,7
01_07_19,5672192,352764018027532030,2,0,1,0,9,6,6,6,2,1,2,3,1,1,-1,2,3,3,3,1,3,1,5,2,1,1,9
01_07_20,6701975,806754312104421431,4,2,1,0,6,7,4,0,4,3,1,2,1,2,-3,0,0,1,0,3,1,2,4,2,2,2,19
01_07_21,6538153,012357846031022210,3,0,1,0,5,9,6,2,3,4,2,3,3,1,-4,2,1,2,1,0,5,1,5,2,1,1,4
01_07_22,6700287,014352768022030550,4,0,1,0,8,7,5,0,4,2,2,2,1,3,-2,0,0,2,0,0,5,4,4,2,2,2,2
01_07_23,6695875,081726354021522031,3,3,1,0,9,7,6,2,3,2,2,2,1,2,-2,1,2,3,2,0,4,3,5,2,1,2,7
01_07_24,6700055,082714356022541031,4,0,1,0,8,6,5,0,4,3,2,3,1,3,-3,0,0,1,0,0,5,2,4,3,1,2,1
01_07_25,6702194,084721563022510460,4,2,1,0,7,6,4,0,4,2,3,2,1,3,-2,0,0,2,0,0,5,5,3,2,3,3,20
01_07_26,6520260,031584726002421531,3,0,1,0,5,6,5,0,3,3,3,2,2,1,-3,0,4,1,2,0,4,4,4,2,2,3,8
01_08_09,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_08_10,2466192,154376280030570726,1,0,1,0,5,8,5,12,1,6,0,2,4,1,-6,1,0,0,1,1,4,2,5,2,1,1,8
01_08_11,6702194,084721563022510460,4,2,1,0,7,6,4,0,4,2,3,2,1,3,-2,0,0,2,0,0,5,5,3,2,3,3,20
01_08_12,4747140,082371564044514232,1,0,5,0,3,6,4,10,2,4,1,6,4,1,-4,0,0,0,2,0,6,0,4,0,0,0,25
01_08_13,2466192,154376280030570726,1,0,1,0,5,8,5,12,1,6,0,2,4,1,-6,1,0,0,1,1,4,2,5,2,1,1,8
01_08_14,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_08_15,6199245,231807564451404352,2,0,3,0,9,5,4,8,2,1,1,4,1,1,-1,0,0,0,2,0,5,1,2,2,1,1,1
01_08_16,1827869,201856734451430051,0,0,4,0,11,9,5,18,0,3,0,4,2,0,-3,6,0,0,3,0,6,0,5,0,0,0,35
01_08_17,4566591,053281476040451050,1,0,3,0,7,4,5,8,1,2,3,4,1,0,-2,2,8,0,4,0,4,1,3,3,1,2,9
01_08_18,5853642,025164738041232643,2,0,2,0,5,6,5,9,2,2,1,3,2,1,-2,0,0,4,3,0,2,1,5,2,1,1,2
01_08_19,4369610,207386514604550121,1,0,3,0,4,5,5,16,1,5,1,4,3,0,-5,0,0,0,4,0,4,1,5,1,0,1,5
01_08_20,6701975,806754312104421431,4,2,1,0,6,7,4,0,4,3,1,2,1,2,-3,0,0,1,0,3,1,2,4,2,2,2,19
01_08_21,4676778,027836154051551124,1,0,4,0,3,5,4,12,1,5,1,5,2,0,-5,2,0,0,1,0,6,1,4,1,0,1,1
01_08_22,6576712,056874231044254050,3,0,1,0,8,4,2,0,4,2,2,2,1,3,-2,0,0,1,0,2,3,6,2,2,3,4,27
01_08_23,4369610,207386514604550121,1,0,3,0,4,5,5,16,1,5,1,4,3,0,-5,0,0,0,4,0,4,1,5,1,0,1,5
01_08_24,5979298,261053784551044551,2,0,2,0,7,4,3,6,2,2,2,4,1,1,-2,1,2,1,2,1,5,2,3,4,2,2,2
01_08_25,6695198,506134278404251570,3,3,1,0,8,5,3,2,3,1,2,3,1,2,-1,1,1,2,1,2,1,2,3,3,3,2,23
01_08_26,5807968,508172634404251054,2,0,2,0,5,3,3,6,2,3,2,3,1,1,-3,1,2,3,2,0,4,3,3,3,1,4,4
01_09_10,6681919,803571462004277073,3,2,1,0,8,6,3,0,5,4,1,3,3,2,-4,0,0,1,0,2,4,3,2,3,2,2,2
01_09_11,6641371,056381724044027531,3,1,1,0,4,5,3,0,5,3,3,3,2,2,-3,0,0,1,0,0,6,5,1,3,3,3,1
01_09_12,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_09_13,6696665,035726814042511262,4,0,1,0,3,6,4,0,4,4,1,3,4,1,-4,0,0,1,0,0,5,3,4,3,1,2,7
01_09_14,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_09_15,6702194,084721563022510460,4,2,1,0,7,6,4,0,4,2,3,2,1,3,-2,0,0,2,0,0,5,5,3,2,3,3,20
01_09_16,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_09_17,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_09_18,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_09_19,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_09_20,6701975,806754312104421431,4,2,1,0,6,7,4,0,4,3,1,2,1,2,-3,0,0,1,0,3,1,2,4,2,2,2,19
01_09_21,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_09_22,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_09_23,6701975,806754312104421431,4,2,1,0,6,7,4,0,4,3,1,2,1,2,-3,0,0,1,0,3,1,2,4,2,2,2,19
01_09_24,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_09_25,6681497,082567314022444551,3,2,1,0,8,5,2,0,5,3,2,3,2,4,-3,0,0,2,0,0,6,5,1,3,3,3,41
01_09_26,5002626,036584712004424572,2,0,1,0,3,3,2,0,5,3,3,3,3,2,-3,0,0,1,0,0,7,6,1,3,3,4,10
01_10_11,6700717,014536872032406251,4,1,1,0,6,6,4,0,4,3,3,2,2,3,-3,0,0,1,0,0,5,5,3,2,3,3,2
01_10_12,6693690,503821467004144011,3,2,4,0,6,7,4,0,3,5,1,5,3,2,-5,0,0,2,0,0,6,1,2,1,1,0,4
01_10_13,5148167,510634287035553721,2,0,1,0,5,10,4,0,2,6,0,3,4,1,-6,0,0,0,0,0,6,1,4,2,2,0,2
01_10_14,6681275,512837064032104551,3,2,1,0,7,9,5,0,3,5,1,1,4,3,-5,0,0,2,0,0,5,2,3,1,2,2,11
01_10_15,6701975,806754312104421431,4,2,1,0,6,7,4,0,4,3,1,2,1,2,-3,0,0,1,0,3,1,2,4,2,2,2,19
01_10_16,6439161,530817462355121031,2,2,2,0,6,11,5,4,2,5,0,2,3,2,-5,4,0,1,1,0,6,1,5,2,1,1,4
01_10_17,6681275,512837064032104551,3,2,1,0,7,9,5,0,3,5,1,1,4,3,-5,0,0,2,0,0,5,2,3,1,2,2,11
01_10_18,6502625,512803476031104071,3,0,1,0,4,7,5,4,3,5,1,2,2,1,-5,0,0,3,2,0,2,1,2,2,1,2,1
