theme_set_id,n,theme_set_dist_1,theme_set_dist_2,theme_set_dist_3,theme_set_dist_4,theme_set_dist_5,theme_set_dist_6
02_07_19,1,"(0, 0, 4)",,,,,
02_07_20,1,"(1, 0, 1)",,,,,
02_07_21,1,"(1, 0, 9)",,,,,
02_07_22,1,"(0, 0, 9)",,,,,
02_07_23,1,"(0, 0, 0)",,,,,
02_07_24,1,"(1, 1, 4)",,,,,
02_07_25,1,"(0, 0, 4)",,,,,
02_07_26,1,"(0, 0, 4)",,,,,
02_08_09,1,"(0, 144, 4)",,,,,
02_08_10,1,"(1, 100, 1)",,,,,
02_08_11,1,"(1, 225, 0)",,,,,
02_08_12,1,"(1, 169, 4)",,,,,
02_08_13,1,"(1, 100, 1)",,,,,
02_08_14,1,"(0, 100, 4)",,,,,
02_08_15,1,"(1, 144, 0)",,,,,
02_08_16,1,"(0, 100, 16)",,,,,
02_08_17,1,"(0, 144, 16)",,,,,
02_08_18,1,"(0, 100, 0)",,,,,
02_08_19,1,"(9, 49, 1)",,,,,
02_08_20,1,"(0, 100, 1)",,,,,
02_08_21,1,"(0, 100, 16)",,,,,
02_08_22,1,"(0, 100, 9)",,,,,
02_08_23,1,"(0, 100, 0)",,,,,
02_08_24,1,"(1, 196, 1)",,,,,
02_08_25,1,"(1, 169, 0)",,,,,
02_08_26,2,"(9, 100, 0)","(0, 100, 4)",,,,
02_09_10,1,"(4, 1, 1)",,,,,
02_09_11,1,"(1, 1, 0)",,,,,
02_09_12,1,"(4, 1, 4)",,,,,
02_09_13,1,"(4, 1, 1)",,,,,
02_09_14,1,"(4, 0, 0)",,,,,
02_09_15,1,"(1, 1, 1)",,,,,
02_09_16,1,"(1, 1, 25)",,,,,
02_09_17,1,"(1, 1, 16)",,,,,
02_09_18,1,"(0, 4, 0)",,,,,
02_09_19,1,"(0, 4, 4)",,,,,
02_09_20,1,"(4, 1, 0)",,,,,
02_09_21,1,"(4, 0, 9)",,,,,
02_09_22,1,"(4, 0, 1)",,,,,
02_09_23,1,"(0, 4, 0)",,,,,
02_09_24,1,"(4, 1, 1)",,,,,
02_09_25,1,"(1, 1, 0)",,,,,
02_09_26,1,"(4, 1, 0)",,,,,
02_10_11,1,"(4, 4, 0)",,,,,
02_10_12,1,"(4, 1, 1)",,,,,
02_10_13,1,"(1, 1, 1)",,,,,
02_10_14,1,"(1, 1, 1)",,,,,
02_10_15,2,"(0, 9, 4)","(0, 4, 9)",,,,
02_10_16,1,"(1, 1, 16)",,,,,
02_10_17,1,"(0, 4, 16)",,,,,
02_10_18,1,"(0, 4, 0)",,,,,
02_10_19,1,"(1, 1, 4)",,,,,
02_10_20,1,"(4, 1, 0)",,,,,
02_10_21,1,"(1, 1, 9)",,,,,
02_10_22,1,"(1, 4, 1)",,,,,
02_10_23,1,"(0, 4, 0)",,,,,
02_10_24,1,"(4, 4, 1)",,,,,
02_10_25,1,"(4, 1, 0)",,,,,
02_10_26,1,"(1, 4, 1)",,,,,
02_11_12,1,"(4, 0, 1)",,,,,
02_11_13,2,"(4, 0, 4)","(1, 1, 4)",,,,
02_11_14,1,"(1, 0, 1)",,,,,
02_11_15,1,"(1, 0, 1)",,,,,
02_11_16,1,"(1, 1, 25)",,,,,
02_11_17,1,"(4, 0, 4)",,,,,
02_11_18,1,"(1, 0, 1)",,,,,
02_11_19,1,"(9, 0, 1)",,,,,
02_11_20,1,"(1, 1, 1)",,,,,
02_11_21,1,"(1, 0, 16)",,,,,
02_11_22,1,"(1, 0, 1)",,,,,
02_11_23,1,"(1, 1, 0)",,,,,
